CBP;DOMAIN;device;Device;Ger?;;;;
CTS;REST;synchronize;Synchronize;Synchronisieren;;;;;
CTS;REST;loadprofiles;Load profiles;Lastprofile;;;;;
CTS;REST;statusInformation;Status information;Statusdaten;;;;;
CTS;REST;;Verify;?erpr?;;;;;
CTS;DOMAIN;CTS.MinEqualsMax;Invalid range: minimum value equals maximum value ;Ung?ger Bereich: Der Mindestwert stimmt mit dem H?twert ?ein.;;;;;
CTS;DOMAIN;CTS.CanNotBeEmpty;This field is required;Dieses Feld darf nicht leer bleiben.;;;;;
CTS;DOMAIN;CTS.MinMustBeBelowMax;Invalid range: minimum value exceeds maximum value;Ung?ger Bereich: Der Mindestwert liegt ? dem H?twert.;;;;;
CTS;DOMAIN;CTS.logBookType.inuse;Log book type ''{0}'' is still in use by the following communication task(s): ''{1}'';Der Logbuchtyp ''{0}'' wird noch von den folgenden Kommunikationstask(s) verwendet: ''{1}''.;;;;;
CTS;DOMAIN;CTS.registerGroup.inuse;Register group ''{0}'' is still in use by the following communication task(s): ''{1}'';Die Verzeichnisgruppe ''{0}'' wird noch von den folgenden Kommunikationstask(s) verwendet: ''{1}''.;;;;;
CTS;DOMAIN;CTS.loadProfileType.inuse;Load profile type ''{0}'' is still in use by the following communication task(s): ''{1}'';Der Lastprofiltyp ''{0}'' wird noch von den folgenden Kommunikationstask(s) verwendet: ''{1}''.;;;;;
CTS;DOMAIN;CTS.clockTaskType.setClock;Set the clock;Uhr festlegen.;;;;;
CTS;DOMAIN;CTS.comTask.name.duplicated;Name must be unique;Eine ComTask mit diesem Namen ist bereits vorhanden.;;;;;
CTS;DOMAIN;CTS.clockTaskType.forceClock;Force the clock;Uhr forcieren.;;;;;
CTS;DOMAIN;CTS.TimeDurationMustBePositive;Field must denote non-0 duration;Das Feld muss eine Nicht-0-Dauer bezeichnen.;;;;;
CTS;DOMAIN;CTS.clockTaskType.synchronizeClock;Synchronize the clock;Uhr synchronisieren.;;;;;
CTS;DOMAIN;CTS.duplicateProtocolTaskInComTask;ComTask contains multiple ProtocolTasks of the same type;Die ComTask enth? mehrere Protokolltasks desselben Typs.;;;;;
CTS;DOMAIN;CTS.firmware.only.one.protocoltask;Only one protocol task is allowed when defining a firmware upgrade comtask;Bei der Festlegung einer Firmware-Upgrade-ComTask ist nur eine Protokolltask zul?ig.;;;;;
CTS;DOMAIN;CTS.firmware.only.one.comtask.allowed;Only one comtask with the firmware protocol task allowed;Es ist nur eine ComTask mit der Firmware-Protokolltask zul?ig;;;;;
CTS;DOMAIN;;This field is required;Ung?ger Bereich: Der Mindestwert stimmt mit dem H?twert ?ein.;;;;;
CTS;;;Verify;?erpr?;;;;;
DAL;REST;general.id;ID;Kennung;;;;;
DAL;REST;NoAppServer;There is no active application server that can handle this request;F?ie Bearbeitung dieser Anforderung ist kein aktiver Anwendungsserver verf?r.;;;;;
DAL;REST;general.add;Add;Hinzuf?;;;;;
DAL;REST;period.days;day(s);Tag(e);;;;;
DAL;REST;InvalidValue;Invalid value;Ung?ger Wert;;;;;
DAL;REST;alarm.status;Status;Status;;;;;
DAL;REST;general.back;Back;Zur?;;;;
DAL;REST;general.edit;Edit;Bearbeiten;;;;;
DAL;REST;general.name;Name;Name;;;;;
DAL;REST;general.next;Next;Weiter;;;;;
DAL;REST;general.save;Save;Speichern;;;;;
DAL;REST;general.type;Type;Typ;;;;;
DAL;REST;general.user;User;Benutzer;;;;;
DAL;REST;period.weeks;week(s);Woche(n);;;;;
DAL;REST;priority.low;Low ({0});Niedrig ({0});;;;;
DAL;REST;alarm.context;Contextual information;Kontextbezogene Informationen;;;;;
DAL;REST;alarms.status;Status;Status;;;;;
DAL;REST;device.alarms;Alarms;Alarmmeldungen;;;;;
DAL;REST;general.clear;Cleared;Gel?t;;;;;
DAL;REST;period.months;month(s);Monat(e);;;;;
DAL;REST;priority.high;High ({0});Hohe ({0});;;;;
DAL;REST;alarm.comments;Comments;Kommentare;;;;;
DAL;REST;alarm.timeline;Timeline;Zeitachse;;;;;
DAL;REST;general.action;Action;Aktion;;;;;
DAL;REST;general.alarms;Alarms;Alarmmeldungen;;;;;
DAL;REST;general.cancel;Cancel;Abbrechen;;;;;
DAL;REST;general.domain;Domain;Domain;;;;;
DAL;REST;general.finish;Finish;Abschlie?n;;;;;
DAL;REST;general.impact;Impact;Auswirkungen;;;;;
DAL;REST;general.reason;Reason;Grund;;;;;
DAL;REST;general.remove;Remove;Entfernen;;;;;
DAL;REST;general.status;Status;Status;;;;;
DAL;REST;alarm.processes;Processes;Prozesse;;;;;
DAL;REST;general.actions;Actions;Aktionen;;;;;
DAL;REST;general.cleared;Cleared;Gel?t;;;;;
DAL;REST;general.comment;Comment;Kommentar;;;;;
DAL;REST;general.confirm;Confirm;Best?gen;;;;;
DAL;REST;general.details;Details;Details;;;;;
DAL;REST;general.dueDate;Due date;F?igkeitsdatum;;;;;
DAL;REST;general.message;Message;Meldung;;;;;
DAL;REST;general.urgency;Urgency;Dringlichkeit;;;;;
DAL;REST;priority.medium;Medium ({0});Medium ({0});;;;;
DAL;REST;general.activate;Activate;Aktivieren;;;;;
DAL;REST;general.priority;Priority;Priorit?;;;;
DAL;REST;issue.userImages;User Images;Benutzerbilder;;;;;
DAL;REST;overview.history;History;Verlauf;;;;;
DAL;REST;priority.veryLow;Very low ({0});Sehr niedrig ({0});;;;;
DAL;REST;AlarmDoesNotExist;Alarm doesn't exist;Die Alarmmeldung ist nicht vorhanden.;;;;;
DAL;REST;alarm.setpriority;Set priority;Priorit?einstellen;;;;;
DAL;REST;alarm.title.steps;Step {0};Schritt {0};;;;;
DAL;REST;general.addAction;Add action;Aktion hinzuf?;;;;;
DAL;REST;general.eventDate;Event date;Ereignisdatum;;;;;
DAL;REST;general.processes;Processes;Prozesse;;;;;
DAL;REST;general.subdomain;Subdomain;Subdomain;;;;;
DAL;REST;general.workgroup;Workgroup;Arbeitsgruppe;;;;;
DAL;REST;general.workspace;Workspace;Arbeitsbereich;;;;;
DAL;REST;issue.title.steps;Step {0};Schritt {0};;;;;
DAL;REST;overview.overview;Overview;?ersicht;;;;;
DAL;REST;priority.veryHigh;Very high ({0});Sehr hoch ({0});;;;;
DAL;REST;alarm.confirmation;Confirmation;Best?gung;;;;;
DAL;REST;alarm.selectAction;Select action;Aktion ausw?en;;;;;
DAL;REST;alarms.closeAlarms;Close alarms;Alarmmeldungen schlie?n;;;;;
DAL;REST;alarms.empty.title;No alarms found;Es wurden keine Alarmmeldungen gefunden.;;;;;
DAL;REST;general.bulkAction;Bulk action;Massen-Aktion;;x;;;
DAL;REST;general.deviceCode;Device code;Ger?kennung;;;;;
DAL;REST;general.deviceType;Device type;Ger?typ;;;;;
DAL;REST;general.noActivity;No activity yet on this alarm;Es ist noch keine Aktivit?f?iese Alarmmeldung vorhanden.;;;;;
DAL;REST;general.title.name;Name;Name;;;;;
DAL;REST;general.title.user;User;Benutzer;;;;;
DAL;REST;general.unassigned;Unassigned;Nicht zugewiesen;;;;;
DAL;REST;alarm.actionDetails;Action details;Aktionsdetails;;;;;
DAL;REST;alarm.wizardInvalid;Wizard Invalid;Der Assistent ist unzul?ig.;;;;;
DAL;REST;alarms.assignAlarms;Assign alarms;Alarmmeldungen zuweisen;;;;;
DAL;REST;alarms.confirmation;Confirmation;Best?gung;;;;;
DAL;REST;alarms.selectAction;Select action;Aktion ausw?en;;;;;
DAL;REST;alarms.selectAlarms;Select alarms;Alarmmeldungen ausw?en;;;;;
DAL;REST;device.myOpenAlarms;My open alarms;Meine nicht bearbeiteten Alarmmeldungen;;;;;
DAL;REST;general.helpTooltip;Click for more information;Klicken Sie hier f?ehr Informationen.;;;;;
DAL;REST;general.setpriority;Set priority;Priorit?einstellen;;;;;
DAL;REST;general.title.alarm;Alarm;Alarmmeldung;;;;;
DAL;REST;general.title.dueIn;Due in;F?ig in;;;;;
DAL;REST;workspace.perReason;Per reason;Nach Grund;;;;;
DAL;REST;workspace.perStatus;Per status;Nach Status;;;;;
DAL;REST;alarm.filter.overdue;Overdue;?erf?ig;;;;;
DAL;REST;alarms.actionDetails;Action details;Aktionsdetails;;;;;
DAL;REST;general.alarmDetails;Alarm details;Details der Alarmmeldung;;;;;
DAL;REST;general.inputAlarmId;Input alarm ID...;Alarmmeldungskennung am Eingang ...;;;;;
DAL;REST;general.startProcess;Start process;Prozess starten;;;;;
DAL;REST;general.title.device;Device;Ger?;;;;
DAL;REST;general.title.reason;Reason;Grund;;;;;
DAL;REST;general.title.status;Status;Status;;;;;
DAL;REST;route.administration;Administration;Administration;;;;;
DAL;REST;alarm.filter.dueToday;Due today;Heute f?ig;;;;;
DAL;REST;general.eventOrAction;Event or action;Ereignis oder Aktion;;;;;
DAL;REST;general.relatedEvents;Related events;?nliche Ereignisse;;;;;
DAL;REST;general.title.alarmId;ID;Kennung;;;;;
DAL;REST;general.title.created;Created;Erstellt;;;;;
DAL;REST;general.title.dueDate;Due date;F?igkeitsdatum;;;;;
DAL;REST;general.title.logbook;Logbook;Logbuch;;;;;
DAL;REST;alarm.cancellingWizard;Cancelling Wizard;Assistenten abbrechen;;;;;
DAL;REST;alarms.alarmsPerReason;{0}: {1} alarms;{0}: {1} Alarmmeldungen;;;;;
DAL;REST;device.alarms.overview;Alarms overview;?ersicht ? Alarmmeldungen;;;;;
DAL;REST;general.createdBetween;Created between;Erstellt zwischen;;;;;
DAL;REST;general.provideComment;Provide a comment (optionally);Kommentar eingeben (optional);;;;;
DAL;REST;general.title.Template;Template;Vorlage;;;;;
DAL;REST;general.title.location;Location;Ort;;;;;
DAL;REST;general.title.priority;Priority;Priorit?;;;;
DAL;REST;workspace.issues.title;Alarms;Alarmmeldungen;;;;;
DAL;REST;alarm.filter.cleared.no;No;Nein;;;;;
DAL;REST;alarms.processing.close;Closing {0} alarm(s). Please wait...;{0} Alarmmeldungen werden geschlossen. Bitte warten ...;;;;;
DAL;REST;general.title.workgroup;Workgroup;Arbeitsgruppe;;;;;
DAL;REST;alarm.filter.cleared.yes;Yes;Ja;;;;;
DAL;REST;alarm.filter.dueTomorrow;Due tomorrow;Morgen f?ig;;;;;
DAL;REST;alarms.processing.assign;Assigning {0} alarm(s). Please wait...;Es werden {0} Alarmmeldungen zugewiesen. Bitte warten ...;;;;;
DAL;REST;alarms.totalAlarmsRaised;Total alarms raised on this day: {0};Insgesamt an diesem Tag ausgel? Alarmmeldungen: {0};;;;;
DAL;REST;device.alarms.cleared.no;No;Nein;;;;;
DAL;REST;general.alarm.managemnet;Alarm management;Verwaltung der Alarmmeldung;;;;;
DAL;REST;issues.limitNotification;Keep typing to narrow down;Die Eingabe zur Eingrenzung fortsetzen.;;;;;
DAL;REST;workspace.alarmsOverview;Alarms overview;?ersicht ? Alarmmeldungen;;;;;
DAL;REST;alarms.processing.default;Processing {0} alarm(s). Please wait...;Es wird/werden {0} Alarmmeldung(en) verarbeitet. Bitte warten ...;;;;;
DAL;REST;device.alarms.cleared.yes;Yes;Ja;;;;;
DAL;REST;device.myWorkgroupsAlarms;My workgroups alarms;Meine Alarmmeldungen der Arbeitsgruppen;;;;;
DAL;REST;general.title.alarmBulkId;ID;Kennung;;;;;
DAL;REST;general.title.alarmReason;Alarm reason;Grund der Alarmmeldung;;;;;
DAL;REST;general.title.bulkActions;Bulk action;Massen-Aktion;;x;;;
DAL;REST;workspace.alarmsPerReason;Alarms per reason;Alarmmeldungen pro Grund;;;;;
DAL;REST;workspace.perUserAssignee;Per user;Nach Benutzer;;;;;
DAL;REST;alarm.cancellingWizard.msg;All changes will be lost. Are you sure you want to cancel?;Alle ?derungen gehen verloren. M?en Sie den Vorgang wirklich abbrechen?;;;;;
DAL;REST;device.alarms.statusDetail;{0} has been cleared on {1};{0} wurde an {1} gel?t.;;;;;
DAL;REST;general.alarmCreationRules;Alarm creation rules;Erstellungsregeln f?larmmeldungen;;;;;
DAL;REST;general.title.creationDate;Creation date;Erstellungsdatum;;;;;
DAL;REST;general.title.lastModified;Last modified;Letzte ?derung;;;;;
DAL;REST;general.title.ruleTemplate;Rule template;Regelvorlage;;;;;
DAL;REST;issues.actionMenu.unassign;Unassign;Zuweisung aufheben;;;;;
DAL;REST;workspace.alarmsOpenClosed;Alarms open vs closed;Alarmmeldungen, offene gegen? geschlossene;;;;;
DAL;REST;alarms.alarmOpenClosed.open;Open;Unbearbeitet;;;;;
DAL;REST;alarmCreationRules.noDueDate;No due date;Es wurde kein F?igkeitsdatum angegeben.;;;;;
DAL;REST;alarms.alarmsPerReasonAndDay;{0} of this day: {1} alarms;{0} an diesem Tag: {1} Alarmmeldungen;;;;;
DAL;REST;device.alarms.alarmsOverview;Alarms overview;?ersicht ? Alarmmeldungen;;;;;
DAL;REST;issues.actionMenu.addComment;Add comment;Kommentar hinzuf?;;;;;
DAL;REST;issues.actionMenu.assignToMe;Assign to me;Mir zuweisen;;;;;
DAL;REST;alarms.alarmOpenClosed.closed;Closed;Geschlossen;;;;;
DAL;REST;alarms.allAlarms.willBeClosed;"All alarms will be closed with status ""<b>{0}</b>""";"""Alle Alarmmeldungen werden mit dem Status """"<b>{0}</b>"""" geschlossen.""";;;;;
DAL;REST;device.alarms.user.unassigned;Unassigned;Nicht zugewiesen;;;;;
DAL;REST;issues.actionMenu.setPriority;Set priority;Priorit?einstellen;;;;;
DAL;REST;alarms.actionMenu.startProcess;Start process;Prozess starten;;;;;
DAL;REST;alarms.close.failed.results[0];-;-;;;;;
DAL;REST;alarms.close.failed.results[1];"<h3 style=""color: #eb5642"">Failed to close one alarm</h3><br>";"""<h3 style=""""color: #eb5642"""">Fehler beim Schlie?n einer Alarmmeldung</h3><br>""";;;;;
DAL;REST;alarms.close.success.result[0];-;-;;;;;
DAL;REST;alarms.close.success.result[1];<h3>Successfully closed alarm</h3><br>;<h3>Die Alarmmeldung wurde erfolgreich geschlossen</h3><br>;;;;;
DAL;REST;alarms.close.unable.results[0];-;-;;;;;
DAL;REST;alarms.close.unable.results[1];"<h3 style=""color: #eb5642"">Unable to close one alarm</h3><br>";"""<h3 style=""""color: #eb5642?Eine Alarmmeldung konnte nicht geschlossen werden</h3><br>""";;;;;
DAL;REST;general.alarmCreationRules.add;Add alarm creation rule;Erstellungsregel f?larmmeldungen hinzuf?;;;;;
DAL;REST;workspace.perWorkgroupAssignee;Per workgroup;Nach Arbeitsgruppe;;;;;
DAL;REST;alarms.assign.failed.results[0];-;-;;;;;
DAL;REST;alarms.assign.failed.results[1];"<h3 style=""color: #eb5642"">Failed to assign one alarm</h3><br>";"""<h3 style=""""color: #eb5642"""">Fehler beim Zuweisen einer Alarmmeldung</h3><br>""";;;;;
DAL;REST;alarms.assign.success.result520;There were no alarms to assigned to {0} user;Es sind keine Alarmmeldungen vorhanden, die {0} Benutzer zugewiesen sind.;;;;;
DAL;REST;alarms.assign.success.result521;Successfully assigned one alarm to {0} user;Eine Alarmmeldung wurde {0} Benutzer erfolgreich zugewiesen.;;;;;
DAL;REST;alarms.assign.success.result522;Successfully assigned {0} alarms to {1} user;{0} Alarmmeldungen wurden {1} Benutzer erfolgreich zugewiesen.;;;;;
DAL;REST;alarms.assign.success.result530;There were no alarms to assigned to {0} workgroup;Es sind keine Alarmmeldungen vorhanden, die {0} Arbeitsgruppe zugewiesen sind.;;;;;
DAL;REST;alarms.assign.success.result531;Successfully assigned one alarm to {0} workgroup;Eine Alarmmeldung wurde {0} Arbeitsgruppe erfolgreich zugewiesen.;;;;;
DAL;REST;alarms.assign.success.result532;Successfully assigned {0} alarms to {1} workgroup;{0} Alarmmeldungen wurden {1} Arbeitsgruppe erfolgreich zugewiesen.;;;;;
DAL;REST;alarms.assign.success.result540;There were no alarms to assigned to {0} user and {1} workgroup;Es sind keine Alarmmeldungen vorhanden, die {0} Benutzer und {1} Arbeitsgruppe zugewiesen sind.;;;;;
DAL;REST;alarms.assign.success.result541;Successfully assigned one alarm to {0} user and {1} workgroup;Eine Alarmmeldung wurde {0} Benutzer und {1} Arbeitsgruppe erfolgreich zugewiesen.;;;;;
DAL;REST;alarms.assign.success.result542;Successfully assigned {0} alarms to {1} user and {2} workgroup;{0} Alarmmeldungen wurden {1} Benutzer und {2} Arbeitsgruppe erfolgreich zugewiesen.;;;;;
DAL;REST;alarms.assign.unable.results[0];-;-;;;;;
DAL;REST;alarms.assign.unable.results[1];"<h3 style=""color: #eb5642"">Unable to assign one alarm</h3><br>";"""<h3 style=""""color: #eb5642?Eine Alarmmeldung konnte nicht zugewiesen werden</h3><br>""";;;;;
DAL;REST;general.nrOfAlarmss.selected[0];No alarms selected;Es wurden keine Alarmmeldungen ausgew?t.;;;;;
DAL;REST;general.nrOfAlarmss.selected[1];{0} alarm selected;Es wurde {0} Alarmmeldung ausgew?t.;;;;;
DAL;REST;alarm.correctErrors.beforeResume;Please correct the following errors before resumitting<br>;Bitte korrigieren Sie die folgenden Fehler vor einer erneuten ?ermittlung.<br>;;;;;
DAL;REST;action.alarm.priority.was.changed;Alarm priority has been changed;Die Priorit?der Alarmmeldung wurde ge?ert.;;;;;
DAL;REST;alarms.assign.success.result51[0];There were no alarms;Es sind keine Alarmmeldungen vorhanden.;;;;;
DAL;REST;alarms.assign.success.result51[1];Successfully unassigned one alarm;Die Zuweisung einer Alarmmeldung wurde erfolgreich aufgehoben.;;;;;
DAL;REST;alarms.close.failed.results[many];"<h3 style=""color: #eb5642"">Failed to close {0} alarms</h3><br>";"""<h3 style=""""color: #eb5642"""">Fehler beim Schlie?n von {0} Alarmmeldungen</h3><br>""";;;;;
DAL;REST;alarms.close.success.result[many];<h3>Successfully closed alarms</h3><br>;<h3>Die Alarmmeldungen wurden erfolgreich geschlossen</h3><br>;;;;;
DAL;REST;alarms.close.unable.results[many];"<h3 style=""color: #eb5642"">Unable to close {0} alarms</h3><br>";"""<h3 style=""""color: #eb5642"""">{0} Alarmmeldungen konnten nicht geschlossen werden</h3><br>""";;;;;
DAL;REST;alarms.selectedAlarms.assign.msg3;<h3>Unassign all alarms?</h3><br>;<h3>Die Zuweisung von allen Alarmmeldungen aufheben?</h3><br>;;;;;
DAL;REST;alarms.selectedAlarms.assign.msg4;<h3>Assign all alarms?</h3><br>;<h3>Alle Alarmmeldungen zuweisen?</h3><br>;;;;;
DAL;REST;general.NoAlarmCommentsCreatedYet;No comments created yet on this alarm;Es wurden noch keine Kommentare f?iese Alarmmeldung erstellt.;;;;;
DAL;REST;workspace.alarms.empty.list.item1;No alarm creation rules have been defined yet.;Es wurden noch keine Erstellungsregeln f?larmmeldungen definiert.;;;;;
DAL;REST;workspace.alarms.empty.list.item2;The current alarm creation rules haven't generated any alarms.;Mit den aktuellen Erstellungsregeln f?larmmeldungen wurden noch keine Alarmmeldungen erzeugt.;;;;;
DAL;REST;workspace.alarms.empty.list.item3;No alarms comply to the filter.;Es stimmen keine Alarmmeldungen mit dem Filter ?ein.;;;;;
DAL;REST;alarms.assign.failed.results[many];"<h3 style=""color: #eb5642"">Failed to assign {0} alarms</h3><br>";"""<h3 style=""""color: #eb5642"""">Fehler beim Zuweisen von {0} Alarmmeldungen</h3><br>""";;;;;
DAL;REST;alarms.assign.unable.results[many];"<h3 style=""color: #eb5642"">Unable to assign {0} alarms</h3><br>";"""<h3 style=""""color: #eb5642"""">{0} Alarmmeldungen konnten nicht zugewiesen werden</h3><br>""";;;;;
DAL;REST;alarms.selectedAlarms.willBeClosed;"The selected alarm(s) will be closed with status ""<b>{0}</b>""";"""Die ausgew?ten Alarmmeldungen werden mit dem Status """"<b>{0}</b>"""" geschlossen.""";;;;;
DAL;REST;device.alarms.workgroup.unassigned;Unassigned;Nicht zugewiesen;;;;;
DAL;REST;general.nrOfAlarmss.selected[many];{0} alarms selected;Es wurden {0} Alarmmeldungen ausgew?t.;;;;;
DAL;REST;processes.alarm.noProcessesStarted;No process started yet on this alarm;Es wurde noch kein Prozess f?iese Alarmmeldung gestartet.;;;;;
DAL;REST;alarms.allAlarms.willBeClosed.title;<h3>Close all alarms?</h3><br>;<h3>Alle Alarmmeldungen schlie?n?</h3><br>;;;;;
DAL;REST;alarms.selectedAlarms.assign.title4;The selected alarm(s) will be assigned to {0} workgroup and {1} user;Die ausgew?ten Alarmmeldungen werden der Arbeitsgruppe {0} und dem Benutzer {1} zugewiesen.;;;;;
DAL;REST;alarms.selectedAlarms.assign.title5;All alarms will be unassigned;Die Zuweisung aller Alarmmeldungen wird aufgehoben.;;;;;
DAL;REST;alarms.selectedAlarms.assign.title6;All alarms will be assigned to {0} user;Alle Alarmmeldungen werden {0} Benutzern zugewiesen.;;;;;
DAL;REST;alarms.selectedAlarms.assign.title7;All alarms will be assigned to {0} workgroup;Alle Alarmmeldungen werden {0} Arbeitsgruppen zugewiesen.;;;;;
DAL;REST;alarms.selectedAlarms.assign.title8;All alarms will be assigned to {0} workgroup and {1} user;Alle Alarmmeldungen werden {0} Arbeitsgruppe und {1} Benutzer zugewiesen.;;;;;
DAL;REST;alarms.selectedIssues.assign.title1;The selected alarm(s) will be unassigned;Die Zuweisung der ausgew?ten Alarmmeldungen wird aufgehoben.;;;;;
DAL;REST;alarms.selectedIssues.assign.title2;The selected alarm(s) will be assigned to {0} user;Die ausgew?ten Alarmmeldungen werden dem Benutzer {0} zugewiesen.;;;;;
DAL;REST;alarms.selectedIssues.assign.title3;The selected alarm(s) will be assigned to {0} workgroup;Die ausgew?ten Alarmmeldungen werden der Arbeitsgruppe {0} zugewiesen.;;;;;
DAL;REST;alarmCreationRules.noActionsAddedYet;There are no actions added yet to this rule;Es wurden noch keine Aktionen zu dieser Regel hinzugef?;;;;;
DAL;REST;alarms.assign.success.result51[many];Successfully unassigned {0} alarms;Die Zuweisung von {0} Alarmmeldungen wurde erfolgreich aufgehoben.;;;;;
DAL;REST;alarms.selectedAlarms.assign.msg1[0];-;-;;;;;
DAL;REST;alarms.selectedAlarms.assign.msg1[1];<h3>Unassign one alarm?</h3><br>;<h3>Die Zuweisung von einer Alarmmeldung aufheben?</h3><br>;;;;;
DAL;REST;alarms.selectedAlarms.assign.msg2[0];-;-;;;;;
DAL;REST;alarms.selectedAlarms.assign.msg2[1];<h3>Assign one alarm?</h3><br>;<h3>Eine Alarmmeldung zuweisen?</h3><br>;;;;;
DAL;REST;administration.alarmCreationRules.add;Add rule;Regel hinzuf?;;;;;
DAL;REST;alarms.selectAlarms.selectionGridError;Select at least one alarm;Mindestens eine Alarmmeldung ausw?en.;;;;;
DAL;REST;alarms.selectedAlarms.assign.msg1[many];<h3>Unassign {0} alarms?</h3><br>;<h3>Die Zuweisung von {0} Alarmmeldungen aufheben?</h3><br>;;;;;
DAL;REST;alarms.selectedAlarms.assign.msg2[many];<h3>Assign {0} alarms?</h3><br>;<h3>{0} Alarmmeldungen zuweisen?</h3><br>;;;;;
DAL;REST;administration.alarmCreationRules.active;Active;Aktiv;;;;;
DAL;REST;alarmCreationRules.actions.whenToPerform;When to perform;Zeitpunkt der Ausf?ng;;;;;
DAL;REST;alarms.selectedAlarms.close.withCount[0];-;-;;;;;
DAL;REST;alarms.selectedAlarms.close.withCount[1];<h3>Close one alarm?</h3><br>;<h3>Eine Alarmmeldung schlie?n?</h3><br>;;;;;
DAL;REST;administration.alarmCreationRules.activate;Activate;Aktivieren;;;;;
DAL;REST;administration.alarmCreationRules.inactive;Inactive;Inaktiv;;;;;
DAL;REST;workspace.alarms.pagingtoolbartop.emptyMsg;There are no alarms to display;Es sind keine Alarmmeldungen zur Anzeige verf?r.;;;;;
DAL;REST;alarmCreationRules.actions.noActionsDefined;No actions defined;Es wurden keine Aktionen definiert.;;;;;
DAL;REST;alarms.selectedAlarms.close.withCount[many];<h3>Close {0} alarms?</h3><br>;<h3>{0} Alarmmeldungen schlie?n?</h3><br>;;;;;
DAL;REST;administration.alarmCreationRules.deactivate;Deactivate;Deaktivieren;;;;;
DAL;REST;workspace.alarms.pagingtoolbartop.displayMsg;{0} - {1} of {2} alarms;{0} - {1} von {2} Alarmmeldungen;;;;;
DAL;REST;administration.alarmCreationRules.empty.title;No alarm creation rules found;Es wurden keine Erstellungsregeln f?larmmeldungen gefunden.;;;;;
DAL;REST;administration.alarmCreationRules.error.unknown;Unknown error occurred;Es ist ein unbekannter Fehler aufgetreten.;;;;;
DAL;REST;workspace.alarms.pagingtoolbartop.displayMoreMsg;{0} - {1} of more than {2} alarms;{0} - {1} von mehr als {2} Alarmmeldungen;;;;;
DAL;REST;workspace.alarms.pagingtoolbarbottom.itemsPerPage;Alarms per page;Alarmmeldungen pro Seite;;;;;
DAL;REST;administration.alarmCreationRules.empty.list.item1;No alarm creation rules have been defined yet.;Es wurden noch keine Erstellungsregeln f?larmmeldungen definiert.;;;;;
DAL;REST;workspace.alarms.bulk.AlarmsSelectionGrid.allLabel;All alarms;Alle Alarmmeldungen;;;;;
DAL;REST;administration.alarmCreationRules.createSuccess.msg;Alarm creation rule added;Die Erstellungsregel f?larmmeldungen wurde hinzugef?;;;;;
DAL;REST;administration.alarmCreationRules.deleteSuccess.msg;Alarm creation rule removed;Die Erstellungsregel f?larmmeldungen wurde entfernt.;;;;;
DAL;REST;administration.alarmCreationRules.updateSuccess.msg;Alarm creation rule updated;Die Erstellungsregel f?larmmeldungen wurde aktualisiert.;;;;;
DAL;REST;administration.alarmCreationRules.activateSuccessMsg;Alarm creation rule activated;Die Erstellungsregel f?larmmeldungen wurde aktiviert.;;;;;
DAL;REST;administration.alarmCreationRules.deactivateSuccessMsg;Alarm creation rule deactivated;Die Erstellungsregel f?larmmeldungen wurde deaktiviert.;;;;;
DAL;REST;workspace.alarms.bulk.AlarmsSelectionGrid.selectedLabel;Selected alarms;Ausgew?te Alarmmeldungen;;;;;
DAL;REST;workspace.alarms.bulk.AlarmsSelectionGrid.allDescription;Select all alarms (related to filters on the alarms screen);Alle Alarmmeldungen ausw?en (anhand der Filter auf dem Bildschirm f?larmmeldungen).;;;;;
DAL;REST;administration.alarmCreationRules.deleteConfirmation.title;Remove rule '{0}'?;Regel {0} entfernen?;;;;;
DAL;REST;administration.alarmCreationRules.activate.operation.failed;Activate operation failed;Die Aktivierung des Vorgangs ist fehlgeschlagen.;;;;;
DAL;REST;administration.alarmCreationRules.pagingtoolbartop.emptyMsg;There are no alarm creation rules to display;Es sind keine Erstellungsregeln f?larmmeldungen zur Anzeige verf?r.;;;;;
DAL;REST;administration.alarmCreationRules.deleteConfirmation.message;This alarm creation rule will disappear from the list. Alarms won''t be created automatically by this rule.;Diese Erstellungsregel f?larmmeldungen wird aus der Liste entfernt. Die Alarmmeldungen werden nicht durch diese Regel automatisch erstellt.;x;;;;
DAL;REST;administration.alarmCreationRules.deactivate.operation.failed;Deactivate operation failed;Die Deaktivierung des Vorgangs ist fehlgeschlagen.;;;;;
DAL;REST;administration.alarmCreationRules.pagingtoolbartop.displayMsg;{0} - {1} of {2} alarm creation rules;{0} - {1} von {2} Erstellungsregeln f?larmmeldungen.;;;;;
DAL;REST;administration.alarmCreationRules.title.editAlarmCreationRule;Edit '{0}';{0} bearbeiten;;;;;
DAL;REST;administration.alarmCreationRules.title.editIssueCreationRule;Edit '{0}';{0} bearbeiten;;;;;
DAL;REST;workspace.alarms.bulk.AlarmsSelectionGrid.selectedDescription;Select alarms in table;Alarmmeldungen in Tabelle ausw?en;;;;;
DAL;REST;administration.alarmCreationRules.pagingtoolbartop.displayMoreMsg;{0} - {1} of more than {2} alarm creation rules;{0} - {1} von mehr als {2} Erstellungsregeln f?larmmeldungen;;;;;
DAL;REST;administration.alarmCreationRules.pagingtoolbarbottom.itemsPerPage;Alarm creation rules per page;Erstellungsregeln f?larmmeldungen pro Seite;;;;;
DAL;REST;administration.alarmCreationRules.deactivate.operation.failed.title;Couldn't perform your action;Ihre Aktion konnte nicht ausgef? werden.;;;;;
